;WDS;PNC;ELEC;ED
WDS;1000;0;0;0
PNC;0;32;0;0
ELEC;0;0;5405;0
ED;0;0;0;4000
WDS, PNC;800;32;0;0
WDS, ELEC;300;0;3784;0
WDS, ELEC;600;0;2162;0
WDS, ELEC;800;0;1081;0
WDS, ED;300;0;0;2800
WDS, ED;600;0;0;1600
WDS, ED;800;0;0;800
PNC, ELEC;0;32;4865;0
PNC, ED;0;32;0;3600
ELEC, ED;0;0;1351;3000
ELEC, ED;0;0;2703;2000
ELEC, ED;0;0;4054;1000
WDS, PNC, ELEC;300;32;3243;0
WDS, PNC, ELEC;600;32;1622;0
WDS, PNC, ELEC;800;32;541;0
WDS, PNC, ED ;300;32;0;2400
WDS, PNC, ED ;600;32;0;1200
WDS, PNC, ED ;800;32;0;400
WDS, ELEC, ED;300;0;811;2200
WDS, ELEC, ED;300;0;1892;1400
WDS, ELEC, ED;300;0;2973;600
WDS, ELEC, ED;600;0;541;1200
WDS, ELEC, ED;600;0;1081;800
WDS, ELEC, ED;600;0;1622;400
WDS, ELEC, ED;800;0;270;600
WDS, ELEC, ED;800;0;541;400
WDS, ELEC, ED;800;0;811;200
PNC, ELEC, ED;0;32;1081;2800
PNC, ELEC, ED;0;32;2432;1800
PNC, ELEC, ED;0;32;3784;800
WDS, PNC, ELEC, ED ;300;32;811;1800
WDS, PNC, ELEC, ED ;300;32;1622;1200
WDS, PNC, ELEC, ED ;300;32;2432;600
WDS, PNC, ELEC, ED ;600;32;541;800
WDS, PNC, ELEC, ED ;600;32;811;600
WDS, PNC, ELEC, ED ;600;32;1081;400
WDS, PNC, ELEC, ED ;800;32;270;200