ClusterId;WDS;ELEC;ED;PNC
1;897,3305;448,66525;22,2437161;17,7949729
2;566,47275;283,236375;22,8181265;18,2545012
3;233,34775;116,673875;19,2365164;15,3892131
4;3078,41425;1539,207125;31,9008191;25,5206553
5;2696,39825;1348,199125;23,9754588;19,180367
6;333,4075;166,70375;34,884391;27,9075128
7;452,55325;226,276625;20,5554475;16,444358
8;1223,7465;611,87325;24,5030812;19,6024649
9;1159,644;579,822;35,1225352;28,0980281
10;1108,126;554,063;36,3147021;29,0517617
11;795,52925;397,764625;30,0552224;24,0441779
12;164,60525;82,302625;25,7496646;20,5997317
13;255,2065;127,60325;39,3798305;31,5038644
14;2425,0135;1212,50675;25,2451676;20,1961341
15;1207,20725;603,603625;31,2541318;25,0033054
16;1290,59475;645,297375;16,2776576;13,0221261
17;1705,51525;852,757625;37,2362881;29,7890305
18;896,1195;448,05975;19,2932233;15,4345787
19;606,7955;303,39775;24,4554125;19,56433
20;1003,9735;501,98675;32,1258703;25,7006962
21;1810,81775;905,408875;29,5792328;23,6633862
22;2457,1175;1228,55875;25,3984145;20,3187316
23;208,3425;104,17125;40,0934778;32,0747823
24;1058,92425;529,462125;24,7476293;19,7981034
25;1211,62025;605,810125;35,9540761;28,7632609
26;463,11325;231,556625;35,926506;28,7412048
27;412,965;206,4825;29,7728493;23,8182794
28;267,05825;133,529125;20,4135904;16,3308723
29;1449,8395;724,91975;32,4749579;25,9799663
30;593,89275;296,946375;20,8581794;16,6865435
31;923,99425;461,997125;23,899448;19,1195584
32;167,61725;83,808625;30,0139303;24,0111442
33;1890,34225;945,171125;30,5798766;24,4639013
34;341,642;170,821;14,8910026;11,9128021
35;3023,773;1511,8865;32,6178263;26,0942611
36;2659,70475;1329,852375;39,316514;31,4532112
37;457,09;228,545;36,6327306;29,3061845
38;564,51175;282,255875;16,7602196;13,4081757
39;495,44725;247,723625;26,354201;21,0833608
40;1068,36525;534,182625;44,4944411;35,5955529
41;50,76075;25,380375;15,1857109;12,1485687
42;484,4905;242,24525;27,7330867;22,1864694
43;113,259;56,6295;31,9785761;25,5828609
44;3000,13725;1500,068625;31,8797954;25,5038363
45;306,368;153,184;30,9283856;24,7427085
100;306,368;153,184;30,9283856;24,7427085