ClusterId;Latitude;Longitude
0;39,2580316;7,538002472
1;39,19800918;7,19357615
2;39,2626937;7,542189312
3;39,04199972;7,871920597
4;39,40438618;7,40329651
5;38,96287785;7,531603651
6;39,21524847;7,644799018
7;39,29409679;7,358613872
8;39,4503673;7,638917643
9;39,02382663;7,71242491
10;39,02307439;7,354071508
11;39,53341402;7,585656721
12;39,30369663;7,18012535
13;39,17304322;7,833223867
14;39,13308587;7,494035284
15;39,14770253;7,55535878
16;39,36398278;7,30864236
17;39,39913513;7,492393522
18;39,31328325;7,746275263
19;39,61469598;7,652760097
20;39,30231665;7,454407261
21;39,2902543;7,658427453
22;38,99265643;7,619070631
23;39,23955076;7,741532054
24;39,48108577;7,422414024
25;39,47583151;7,70783907
26;39,45679268;7,323888987
27;39,10606907;7,273688439
28;39,54640115;7,656705237
29;39,49246547;7,507574238
30;39,27338236;7,834341919
31;38,9612126;7,727638487
32;39,14955448;7,731269846
33;39,61153132;7,572672427
34;39,28117376;7,263373898
35;39,05824918;7,539673136
36;39,00092321;7,476322742
37;39,07013146;7,787526954
38;39,42397284;7,569104895
39;39,59739957;7,4624653
40;39,10934985;7,629308606
41;39,13005088;7,924779741
42;39,22761869;7,429214553
43;39,40510518;7,20572303
44;39,07762908;7,431651542
45;39,20400159;7,310637264